Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Ruby,12685,8562,1548,2575,506,339404,257,0
YAML,1955,1701,78,176,0,57370,24,0
JavaScript,1447,1202,50,195,117,42855,14,0
CSS,117,85,14,18,0,52304,6,0
Ruby HTML,36,35,0,1,0,651,3,0
Dockerfile,92,53,18,21,2,2572,2,0
Markdown,132,90,0,42,0,2632,2,0
Rakefile,10,5,3,2,0,321,2,0
Docker ignore,46,23,11,12,0,412,1,0
Gemfile,71,45,4,22,0,1343,1,0
JSON,14,14,0,0,0,518,1,0
Shell,39,25,6,8,5,797,1,0
